swe	row037	src	objid	parent	l3	did	kind	cat	region	harman
SWE1-Diagnostics-354	362	SYS-RA-DIAG-155	4939720	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-355	363	SYS-RA-DIAG-156	4939719	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-356	364	SYS-RA-DIAG-156	4939719	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-357	365	SYS-RA-DIAG-156	4939719	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-358	366	SYS-RA-DIAG-157	4939718	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-359	367	SYS-RA-DIAG-157	4939718	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-360	368	SYS-RA-DIAG-157	4939718	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-361	369	SYS-RA-DIAG-158	4939724	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-362	370	SYS-RA-DIAG-158	4939724	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-363	371	SYS-RA-DIAG-158	4939724	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-364	372	SYS-RA-DIAG-159	4939728	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-365	373	SYS-RA-DIAG-159	4939728	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-366	374	SYS-RA-DIAG-159	4939728	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-367	375	SYS-RA-DIAG-160	4939722	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-368	376	SYS-RA-DIAG-160	4939722	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-369	377	SYS-RA-DIAG-160	4939722	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-370	378	SYS-RA-DIAG-161	4939721	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-371	379	SYS-RA-DIAG-161	4939721	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-372	380	SYS-RA-DIAG-161	4939721	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-373	381	SYS-RA-DIAG-162	4939725	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-374	382	SYS-RA-DIAG-162	4939725	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-375	383	SYS-RA-DIAG-162	4939725	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-376	384	SYS-RA-DIAG-163	4939723	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-377	385	SYS-RA-DIAG-163	4939723	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-378	386	SYS-RA-DIAG-163	4939723	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-379	387	SYS-RA-DIAG-165	4939726	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-380	388	SYS-RA-DIAG-165	4939726	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-381	389	SYS-RA-DIAG-165	4939726	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-382	390	SYS-RA-DIAG-166	4939715	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-383	391	SYS-RA-DIAG-238	4939626	R/W	$1801 - Screen Test Pattern (Read/Write)	$1801	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-384	392	SYS-RA-DIAG-238	4939626	R/W	$1801 - Screen Test Pattern (Read/Write)	$1801	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-385	393	SYS-RA-DIAG-238	4939626	R/W	$1801 - Screen Test Pattern (Read/Write)	$1801	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-386	394	SYS-RA-DIAG-215	4939650	R/W	$1821 - Steering Wheel Module Interface (Read)	$1821	positive	Functional Requirement	All	
SWE1-Diagnostics-387	395	SYS-RA-DIAG-215	4939650	R/W	$1821 - Steering Wheel Module Interface (Read)	$1821	negative	Functional Requirement	All	
SWE1-Diagnostics-388	396	SYS-RA-DIAG-215	4939650	R/W	$1821 - Steering Wheel Module Interface (Read)	$1821	unsupported	Functional Requirement	All	
SWE1-Diagnostics-389	397	SYS-RA-DIAG-167	4939716	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-390	398	SYS-RA-DIAG-167	4939716	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-391	399	SYS-RA-DIAG-167	4939716	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
SWE1-Diagnostics-392	400	SYS-RA-DIAG-168	4939717	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	positive	Functional Requirement	All	
SWE1-Diagnostics-393	401	SYS-RA-DIAG-168	4939717	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	negative	Functional Requirement	All	
SWE1-Diagnostics-394	402	SYS-RA-DIAG-168	4939717	R/W	$2812 - GPS Signal Data 1 (Read)	$2812	unsupported	Functional Requirement	All	
